irn,EventID,Type,Status,Title,Section,Commenced,Completed,Description,Locality,Organizer,Curator,Designer,ObjectIDs
1013,EX1935.14,Exhibition,Completed,"American Indian Paintings","John Herron Art Institute",1935-04-06,1935-05-04,"",Internal,"","","",
1014,EX1935.15,Exhibition,Completed,"Paul Beem, Oils and Pastels","John Herron Art Institute",1935-04-18,1935-05-09,"",Internal,"","","",
1015,EX1935.16,Exhibition,Completed,"Janet Bowles, Handwrought Metal","John Herron Art Institute",1935-04-18,1935-05-09,"",Internal,"","","",
1016,EX1935.17,Exhibition,Completed,"2nd Invitational Club Exhibit of Pictorial Photography","John Herron Art Institute",1935-05-01,1935-05-31,"",Internal,"","","",
1017,EX1935.18,Exhibition,Completed,"William Kaeser, Paintings","John Herron Art Institute",1935-05-09,1935-05-24,"",Internal,"","","",
1018,EX1935.19,Exhibition,Completed,"16th Century Portrait Paintings","John Herron Art Institute",1935-06-01,1935-08-30,"",Internal,"","","",
1019,EX1935.20,Exhibition,Completed,"15th and 16th Century German Prints","John Herron Art Institute",1935-06-01,1935-08-30,"",Internal,"","","",
1020,EX1935.21,Exhibition,Completed,"Indiana Artists Retrospective Exhibit","John Herron Art Institute",1935-06-09,1935-09-14,"",Internal,"","","",
1021,EX1935.22,Exhibition,Completed,"Bookplate Exhibition","John Herron Art Institute",1935-08-01,,"",Internal,"","","",
1022,EX1935.23,Exhibition,Completed,"Exhibition of Work Produced Under the Governor's Commission on Unemployment Relief Project","John Herron Art Institute",1935-09-14,1935-10-10,"",Internal,"","","",46115 | 46116 | 46117 | 46118 | 46119 | 46120 | 46121 | 46122 | 46128 | 46129 | 46130 | 46131 | 
1023,EX1935.24,Exhibition,Completed,"William Forsyth, Paintings","John Herron Art Institute",1935-09-15,,"",Internal,"","","",
1024,EX1935.25,Exhibition,Completed,"Prints from the Permanent Collection","John Herron Art Institute",1935-09-21,1936-01-14,"",Internal,"","","",
1025,EX1935.26,Exhibition,Completed,"Maurice Vlaminck, Watercolors","John Herron Art Institute",1935-10-01,,"",Internal,"","","",
1026,EX1935.27,Exhibition,Completed,"Hoosier Group in Munich, Paintings and Drawings","John Herron Art Institute",1935-10-14,1935-11-10,"",Internal,"","","",
1027,EX1935.28,Exhibition,Completed,"Contemporary American and European Sculpture","John Herron Art Institute",1935-10-14,1935-11-10,"",Internal,"","","",
1028,EX1935.29,Exhibition,Completed,"Twentieth Century Paintings and Prints from the permanent Collection","John Herron Art Institute",1935-10-14,1935-11-10,"",Internal,"","","",
1029,EX1935.30,Exhibition,Completed,"Seven Cities Exhibition","John Herron Art Institute",1935-11-08,1935-12-02,"",Internal,"","","",
1030,EX1935.31,Exhibition,Completed,"Paintings by Edward Bruce","John Herron Art Institute",1935-11-14,1935-12-05,"",Internal,"","","",
1031,EX1935.32,Exhibition,Completed,"Newspaper National Snapshot Exhibition","John Herron Art Institute",1935-11-18,1935-12-06,"",Internal,"","","",
1032,EX1935.33,Exhibition,Completed,"Gilbert Stuart, Paintings","John Herron Art Institute",1935-12-01,,"",Internal,"","","",
1033,EX1935.34,Exhibition,Completed,"Mexican Exhibition","John Herron Art Institute",1935-12-06,1936-01-06,"",Internal,"","","",
1034,EX1936.1,Exhibition,Completed,"Contemporary American Artists","John Herron Art Institute",1936-01-01,1936-01-30,"",Internal,"","","",
1035,EX1936.2,Exhibition,Completed,"Puppets and Marionettes","John Herron Art Institute",1936-01-10,1936-02-04,"",Internal,"","","",
1036,EX1936.3,Exhibition,Completed,"5th International Exhibition of Lithographs and Wood Engravings","John Herron Art Institute",1936-01-16,1936-02-16,"",Internal,"","","",
1037,EX1936.4,Exhibition,Completed,"Picasso, Paintings","John Herron Art Institute",1936-02-01,1936-02-28,"",Internal,"","","",
1038,EX1936.5,Exhibition,Completed,"Emil Jacques, Oil Paintings","John Herron Art Institute",1936-02-01,1936-02-28,"",Internal,"","","",
1039,EX1936.6,Exhibition,Completed,"California Water Colors","John Herron Art Institute",1936-02-04,1936-03-01,"",Internal,"","","",
1040,EX1936.7,Exhibition,Completed,"Old Master Drawings from the Max Goldstein Collection","John Herron Art Institute",1936-02-26,1936-03-13,"",Internal,"","","",
1041,EX1936.8,Exhibition,Completed,"29th Annual Indiana Artists Exhibition","John Herron Art Institute",1936-03-01,1936-03-29,"",Internal,"","","",
1042,EX1936.9,Exhibition,Completed,"Russell Barnett Aitken, Ceramic Sculpture","John Herron Art Institute",1936-03-07,1936-04-05,"",Internal,"","","",
1043,EX1936.10,Exhibition,Completed,"Indiana Craft Work","John Herron Art Institute",1936-03-07,1936-04-03,"",Internal,"","","",
1044,EX1936.11,Exhibition,Completed,"Hendrik M. Mayer, Mural Paintings","John Herron Art Institute",1936-03-13,1936-04-03,"",Internal,"","","",
1045,EX1936.12,Exhibition,Completed,"Czechoslovakian Arts and Crafts","John Herron Art Institute",1936-04-03,1936-05-01,"",Internal,"","","",
1046,EX1936.13,Exhibition,Completed,"Charles Val Clear:  A Retrospective Exhibition of Watercolor Sketches.","John Herron Art Institute",1936-04-03,1936-05-01,"",Internal,"","","",
1047,EX1936.14,Exhibition,Completed,"3rd Annual Exhibition of Indiana Society of Printmakers","John Herron Art Institute",1936-05-01,1936-05-30,"",Internal,"","","",
1048,EX1936.15,Exhibition,Completed,"3rd Annual Exhibition of the Indianapolis Camera Club","John Herron Art Institute",1936-05-01,1936-05-31,"",Internal,"","","",
1049,EX1936.16,Exhibition,Completed,"Nineteenth Century French Prints","John Herron Art Institute",1936-05-01,1936-06-30,"",Internal,"","","",
1050,EX1936.17,Exhibition,Completed,"Japanese Textiles from the Permanent Collection","John Herron Art Institute",1936-06-01,1936-06-30,"",Internal,"","","",
1051,EX1936.18,Exhibition,Completed,"European Prints from the Permanent Collection","John Herron Art Institute",1936-06-01,1936-09-30,"",Internal,"","","",
1052,EX1936.19,Exhibition,Completed,"Marine Paintings from the Permanent Collection","John Herron Art Institute",1936-06-16,1936-07-27,"",Internal,"","","",
1053,EX1936.20,Exhibition,Completed,"American Prints from the Permanent Collection","John Herron Art Institute",1936-06-30,1936-08-28,"",Internal,"","","",
1054,EX1936.21,Exhibition,Completed,"Exhibition of Prints","John Herron Art Institute",1936-08-28,1936-10-13,"",Internal,"","","",
1055,EX1936.22,Exhibition,Completed,"Paintings from the Permanent Collection","John Herron Art Institute",1936-10-01,1936-11-18,"",Internal,"","","",
1056,EX1936.23,Exhibition,Completed,"Lace Collection of Mrs. Charles S. Crosley","John Herron Art Institute",1936-10-11,1936-11-16,"",Internal,"","","",
1057,EX1936.24,Exhibition,Completed,"Cleveland Artist's Watercolors","John Herron Art Institute",1936-10-11,1936-11-01,"",Internal,"","","",
1058,EX1936.25,Exhibition,Completed,"German Prints from the Permanent Collection","John Herron Art Institute",1936-10-13,1936-11-27,"",Internal,"","","",
1059,EX1936.26,Exhibition,Completed,"Winslow Homer, Watercolors","John Herron Art Institute",1936-11-01,1936-11-30,"",Internal,"","","",
1060,EX1936.27,Exhibition,Completed,"Wayman Adams, Paintings","John Herron Art Institute",1936-11-01,1936-11-25,"",Internal,"","","",
1061,EX1936.28,Exhibition,Completed,"Chinese Textiles","John Herron Art Institute",1936-11-01,1936-11-27,"",Internal,"","","",
1062,EX1936.29,Exhibition,Completed,"Anders Zorn, Etchings","John Herron Art Institute",1936-11-03,1936-11-27,"",Internal,"","","",
1063,EX1936.30,Exhibition,Completed,"The Family Album, Portraits in Indianapolis Homes","John Herron Art Institute",1936-12-01,1937-01-05,"",Internal,"","","",
1064,EX1936.31,Exhibition,Completed,"*America Today*","John Herron Art Institute",1936-12-04,1937-01-05,"",Internal,"","","",
1065,EX1937.1,Exhibition,Completed,"Drawings by Viennese School Children","John Herron Art Institute",1937-02-01,1937-02-25,"",Internal,"","","",
1066,EX1937.2,Exhibition,Completed,"Dutch Paintings, 17th Century","John Herron Art Institute",1937-02-27,1937-04-11,"",Internal,"","","",
1067,EX1937.3,Exhibition,Completed,"Etchings by Rembrandt","John Herron Art Institute",1937-03-01,1937-04-30,"",Internal,"","","",
1068,EX1937.4,Exhibition,Completed,"30th Indiana Artists Exhibition","John Herron Art Institute",1937-05-01,1937-05-30,"",Internal,"","","",
1069,EX1937.5,Exhibition,Completed,"4th Exhibition of the Indiana Society of Printmakers","John Herron Art Institute",1937-06-02,1937-06-17,"",Internal,"","","",
1070,EX1937.6,Exhibition,Completed,"Herron Students Exhibition","John Herron Art Institute",1937-07-01,,"",Internal,"","","",
1071,EX1937.7,Exhibition,Completed,"Japanese Pillar Prints from the Collections of the Museum and of George C. Calvert","John Herron Art Institute",1937-07-01,1937-09-30,"",Internal,"","","",
1072,EX1937.8,Exhibition,Completed,"Textiles from the Permanent  Collection","John Herron Art Institute",1937-07-01,1937-09-30,"",Internal,"","","",
1073,EX1937.9,Exhibition,Completed,"Exhibition of Permanent Paintings","John Herron Art Institute",1937-07-01,1937-09-30,"",Internal,"","","",
1074,EX1937.10,Exhibition,Completed,"4th Annual Invitational Exhibition of Pictorial Photography","John Herron Art Institute",1937-10-01,1937-10-31,"",Internal,"","","",
1075,EX1937.11,Exhibition,Completed,"Portraits of James Whitcomb Riley","John Herron Art Institute",1937-10-01,1937-10-31,"",Internal,"","","",
1076,EX1937.12,Exhibition,Completed,"16th Annual International Watercolor Exhibition","John Herron Art Institute",1937-10-10,1937-11-01,"",Internal,"","","",
1077,EX1937.13,Exhibition,Completed,"Portraits Through the Ages","John Herron Art Institute",1937-11-01,1937-12-31,"",Internal,"","","",
1078,EX1937.14,Exhibition,Completed,"Paintings by Will H. Stevens","John Herron Art Institute",1937-11-01,1937-11-30,"",Internal,"","","",
1079,EX1937.15,Exhibition,Completed,"John Flaxman Designs","John Herron Art Institute",1937-12-01,1937-12-31,"",Internal,"","","",
1080,EX1937.16,Exhibition,Completed,"Special Exhibition of Prints","John Herron Art Institute",1937-12-05,,"",Internal,"","","",
1081,EX1938.1,Exhibition,Completed,"Contemporary American Artists: *Paintings for Paris*","John Herron Art Institute",1938-01-01,1938-01-30,"",Internal,"","","",
1082,EX1938.2,Exhibition,Completed,"European Paintings, Sculpture and Textiles","John Herron Art Institute",1938-02-04,1938-02-27,"",Internal,"","","",
1083,EX1938.3,Exhibition,Completed,"Art Hobby Fair Exhibit","John Herron Art Institute",1938-02-06,1938-02-20,"",Internal,"","","",
1084,EX1938.4,Exhibition,Completed,"Comparisons and Contrasts","John Herron Art Institute",1938-02-15,1938-03-22,"",Internal,"","","",
1085,EX1938.5,Exhibition,Completed,"18th Century French and German Porcelain from the Marshall Field Collection","John Herron Art Institute",1938-02-20,,"",Internal,"","","",
1086,EX1938.6,Exhibition,Completed,"31st Annual Indiana Artists Exhibition","John Herron Art Institute",1938-03-06,1938-04-03,"",Internal,"","","",
1087,EX1938.7,Exhibition,Completed,"Oil Paintings by Cleveland Artists","John Herron Art Institute",1938-04-01,,"",Internal,"","","",
1088,EX1938.8,Exhibition,Completed,"Persian Decorative Art","John Herron Art Institute",1938-04-03,1938-04-21,"",Internal,"","","",
1089,EX1938.9,Exhibition,Completed,"Archipenko Sculpture","John Herron Art Institute",1938-04-10,1938-05-11,"",Internal,"","","",
1090,EX1938.10,Exhibition,Completed,"Colored Lithographs, Etchings and Engravings","John Herron Art Institute",1938-04-21,1938-05-04,"",Internal,"","","",
1091,EX1938.11,Exhibition,Completed,"American Indian Pottery Vessels","John Herron Art Institute",1938-04-27,1938-09-27,"",Internal,"","","",
1092,EX1938.12,Exhibition,Completed,"Constance Coleman Richardson: Paintings","John Herron Art Institute",1938-05-01,1938-05-15,"",Internal,"","","",
1093,EX1938.13,Exhibition,Completed,"Charles Reiffel - Wax Colors","John Herron Art Institute",1938-05-01,1938-05-31,"",Internal,"","","",
1094,EX1938.14,Exhibition,Completed,"Prints from the Permanent Collection:  The Tonalists","John Herron Art Institute",1938-05-06,1938-06-21,"",Internal,"","","",
1095,EX1938.15,Exhibition,Completed,"Our Best Prints:  Etchings, Engravings and Lithographs from the Permanent Collection","John Herron Art Institute",1938-05-13,1938-08-25,"",Internal,"","","",
1096,EX1938.16,Exhibition,Completed,"Early European Lace","John Herron Art Institute",1938-06-08,1938-09-22,"",Internal,"","","",
1097,EX1938.17,Exhibition,Completed,"Dresden Porcelain Show","John Herron Art Institute",1938-08-01,,"",Internal,"","","",
1098,EX1938.18,Exhibition,Completed,"Engravings made from Raphael's Fresco and Tapestries in the Vatican","John Herron Art Institute",1938-08-25,1938-09-29,"",Internal,"","","",
1099,EX1938.19,Exhibition,Completed,"Lennox China lent by Charles Mayer & Co.","John Herron Art Institute",1938-09-03,1938-09-26,"",Internal,"","","",
1100,EX1938.20,Exhibition,Completed,"Florence Bartley Smithburn","John Herron Art Institute",1938-09-04,1938-09-25,"",Internal,"","","",
1101,EX1938.21,Exhibition,Completed,"7th Annual Exhibition of American Watercolors","John Herron Art Institute",1938-09-24,1938-09-24,"",Internal,"","","",
1102,EX1938.22,Exhibition,Completed,"Eliot O'Hara Watercolors","John Herron Art Institute",1938-10-01,1938-09-24,"",Internal,"","","",
1103,EX1938.23,Exhibition,Completed,"Pictorial Photography","John Herron Art Institute",1938-10-01,1938-10-31,"",Internal,"","","",
1104,EX1938.24,Exhibition,Completed,"Self-Portraits by Indiana Artists","John Herron Art Institute",1938-11-01,1938-11-13,"",Internal,"","","",
1105,EX1938.25,Exhibition,Completed,"Durr Freedley: Memorial Exhibition of Paintings","John Herron Art Institute",1938-11-01,1938-11-30,"",Internal,"","","",
1106,EX1938.26,Exhibition,Completed,"Glen Mitchell: Mexican Landscapes","John Herron Art Institute",1938-11-15,1938-12-19,"",Internal,"","","",
1107,EX1938.27,Exhibition,Completed,"Milwaukee Printmakers Exhibition","John Herron Art Institute",1938-12-01,1938-12-30,"",Internal,"","","",
1108,EX1938.28,Exhibition,Completed,"Sylvia Shaw Judson, Sculptor","John Herron Art Institute",1938-12-09,1939-01-09,"",Internal,"","","",
1109,EX1939.1,Exhibition,Completed,"Paintings by Contemporary American Artists","John Herron Art Institute",1939-01-01,1939-01-31,"",Internal,"","","",
1110,EX1939.2,Exhibition,Completed,"Chinese Art Through the Ages","John Herron Art Institute",1939-02-05,1939-02-27,"",Internal,"","","",
1111,EX1939.3,Exhibition,Completed,"Early Engravings of Abraham Lincoln and His Life","John Herron Art Institute",1939-02-07,1939-03-03,"",Internal,"","","",
1112,EX1939.4,Exhibition,Completed,"French Masters","John Herron Art Institute",1939-03-01,,"",Internal,"","","",
1113,EX1939.5,Exhibition,Completed,"32nd Annual Indiana Artists Exhibition","John Herron Art Institute",1939-03-04,1939-04-02,"",Internal,"","","",
1114,EX1939.6,Exhibition,Completed,"Ohio  Watercolor Exhibition","John Herron Art Institute",1939-04-02,1939-04-30,"",Internal,"","","",
1115,EX1939.7,Exhibition,Completed,"Antique Oriental Rugs from Local Collectorss","John Herron Art Institute",1939-04-09,1939-04-30,"",Internal,"","","",
1116,EX1939.8,Exhibition,Completed,"Paintings and Drawings by J.M.W. Turner","John Herron Art Institute",1939-04-17,1939-05-03,"",Internal,"","","",
1117,EX1939.9,Exhibition,Completed,"Pewter","John Herron Art Institute",1939-04-30,,"",Internal,"","","",
1118,EX1939.10,Exhibition,Completed,"Water Colors by Olive Rush","John Herron Art Institute",1939-05-02,1939-06-05,"",Internal,"","","",
1119,EX1939.11,Exhibition,Completed,"Lithographs from the Permanent Collection","John Herron Art Institute",1939-05-02,1939-05-22,"",Internal,"","","",
1120,EX1939.12,Exhibition,Completed,"Spanish Prints","John Herron Art Institute",1939-06-01,1939-08-30,"",Internal,"","","",
1121,EX1939.13,Exhibition,Completed,"Work by Children of the Members of the Art Association","John Herron Art Institute",1939-06-03,1939-06-21,"",Internal,"","","",
1122,EX1939.14,Exhibition,Completed,"Work by Members of Art Association Sketch Class","John Herron Art Institute",1939-06-18,1939-07-03,"",Internal,"","","",
1123,EX1939.15,Exhibition,Completed,"Fifty Fine Prints from the Permanent Collection","John Herron Art Institute",1939-06-21,1939-09-13,"",Internal,"","","",
1124,EX1939.16,Exhibition,Completed,"Printed Textiles","John Herron Art Institute",1939-09-17,1939-10-30,"",Internal,"","","",
1125,EX1939.17,Exhibition,Completed,"6th Annual Indianapolis Camera Club Exhibition","John Herron Art Institute",1939-10-01,1939-11-02,"",Internal,"","","",
1126,EX1939.18,Exhibition,Completed,"Paintings and Handicrafts by Polish School Children","John Herron Art Institute",1939-11-01,1939-11-27,"",Internal,"","","",
1127,EX1939.19,Exhibition,Completed,"George Winter: Pioneer Artist of Indiana","John Herron Art Institute",1939-11-05,1939-12-10,"",Internal,"","","",19350 | 
1128,EX1939.20,Exhibition,Completed,"Jay Connaway: Marine Paintings","John Herron Art Institute",1939-12-11,1939-12-29,"",Internal,"","","",
1129,EX1939.21,Exhibition,Completed,"Japanese Woodblock Prints, 18th and 19th Centuries","John Herron Art Institute",1939-12-12,1939-12-28,"",Internal,"","","",
1130,EX1940.1,Exhibition,Completed,"Contemporary American Artists","John Herron Art Institute",1940-01-01,1940-01-29,"",Internal,"","","",
1131,EX1940.2,Exhibition,Completed,"Pennsylvania Miniature Society Exhibition","John Herron Art Institute",1940-01-23,1940-02-06,"",Internal,"","","",
1132,EX1940.3,Exhibition,Completed,"Glen Cooper Henshaw: Paintings and Drawings","John Herron Art Institute",1940-02-01,1940-02-28,"",Internal,"","","",
1133,EX1940.4,Exhibition,Completed,"Historical Survey of Still Life Paintings","John Herron Art Institute",1940-02-04,1940-02-28,"",Internal,"","","",
1134,EX1940.5,Exhibition,Completed,"John Audubon: Prints of American Wildlife","John Herron Art Institute",1940-02-07,1940-02-17,"",Internal,"","","",
1135,EX1940.6,Exhibition,Completed,"Currier and Ives: Prints","John Herron Art Institute",1940-02-18,1940-03-01,"",Internal,"","","",
1136,EX1940.7,Exhibition,Completed,"33rd Annual Indiana Artists Exhibition","John Herron Art Institute",1940-03-02,1940-03-31,"",Internal,"","","",
1137,EX1940.8,Exhibition,Completed,"Early Drawings by Indiana Artists","John Herron Art Institute",1940-03-16,1940-04-11,"",Internal,"","","",
1138,EX1940.9,Exhibition,Completed,"Contemporary Art of 79 Countries","John Herron Art Institute",1940-04-07,1940-04-29,"",Internal,"","","",
1139,EX1940.10,Exhibition,Completed,"Contemporary American Ceramics","John Herron Art Institute",1940-04-13,1940-04-23,"",Internal,"","","",
1140,EX1940.11,Exhibition,Completed,"Chinese Wood Block Prints","John Herron Art Institute",1940-05-05,1940-06-12,"",Internal,"","","",
1141,EX1940.12,Exhibition,Completed,"Analysis of Paintings","John Herron Art Institute",1940-05-05,1940-06-12,"",Internal,"","","",
1142,EX1940.13,Exhibition,Completed,"Lithographs by Gavarni and Daumier from the Permanent Collection","John Herron Art Institute",1940-06-12,1940-08-30,"",Internal,"","","",
1143,EX1940.14,Exhibition,Completed,"Mural Designs in Federal Buildings","John Herron Art Institute",1940-09-01,1940-09-30,"",Internal,"","","",
1144,EX1940.15,Exhibition,Completed,"Galleries Closed for Remodeling","John Herron Art Institute",1940-10-01,1941-03-01,"",Internal,"","","",
1145,EX1941.1,Exhibition,Completed,"Early British Masters","John Herron Art Institute",1941-03-08,1941-04-20,"",Internal,"","","",
1146,EX1941.2,Exhibition,Completed,"Narcissus Flower Show","John Herron Art Institute",1941-04-26,1941-04-27,"",Internal,"","","",
1147,EX1941.3,Exhibition,Completed,"34th Annual Indiana Artists Exhibition","John Herron Art Institute",1941-05-03,1943-06-01,"",Internal,"","","",
1148,EX1941.4,Exhibition,Completed,"Virginia Keep Clark, Watercolors & Drawings","John Herron Art Institute",1941-05-22,1941-07-03,"",Internal,"","","",
1149,EX1941.5,Exhibition,Completed,"Work by children in the Public Schools in Franklin, Indiana","John Herron Art Institute",1941-06-04,1941-06-16,"",Internal,"","","",
1150,EX1941.6,Exhibition,Completed,"Early American, European and Oriental Costumes from the Permanent Collection","John Herron Art Institute",1941-06-15,1941-10-01,"",Internal,"","","",
1151,EX1941.7,Exhibition,Completed,"Seventy-five Prints from the Permanent Collection","John Herron Art Institute",1941-06-15,1941-10-01,"",Internal,"","","",
1152,EX1941.8,Exhibition,Completed,"Costumes from the Permanent Collection","John Herron Art Institute",1941-06-15,1941-10-01,"",Internal,"","","",
1153,EX1941.9,Exhibition,Completed,"Special Exhibition of Old Engraved Fashion Plates Collected in this Country","John Herron Art Institute",1941-07-03,1941-09-23,"",Internal,"","","",
1154,EX1941.10,Exhibition,Completed,"Lace from the Permanent Collection","John Herron Art Institute",1941-09-01,,"",Internal,"","","",
1155,EX1941.11,Exhibition,Completed,"Autumn in Indiana: Paintings by Indiana Artists","John Herron Art Institute",1941-10-05,1941-11-02,"",Internal,"","","",
1156,EX1941.12,Exhibition,Completed,"7th Annual Invitational Club Exhibit of Pictorial Photography","John Herron Art Institute",1941-10-05,1941-11-02,"",Internal,"","","",
1157,EX1941.13,Exhibition,Completed,"European Porcelains from Local Collections","John Herron Art Institute",1941-11-01,,"",Internal,"","","",
1158,EX1941.14,Exhibition,Completed,"Paintings by Jacob Cox:  A Retrospective Exhibition of Work by an Early Indianapolis Artist","John Herron Art Institute",1941-11-08,1941-11-30,"",Internal,"","","",
1159,EX1941.15,Exhibition,Completed,"Chinese Paintings, 13th to 18th Centuries, from Del Drago Collection, NY","John Herron Art Institute",1941-11-08,1941-12-16,"",Internal,"","","",
1160,EX1941.16,Exhibition,Completed,"Christian Schrader, Drawings","John Herron Art Institute",1941-11-08,1941-11-14,"",Internal,"","","",
1161,EX1941.17,Exhibition,Completed,"Philadelphia Watercolor Society Exhibition","John Herron Art Institute",1941-12-06,1941-12-26,"",Internal,"","","",
1162,EX1941.18,Exhibition,Completed,"Tableaux of Famous Paintings","John Herron Art Institute",1941-12-10,,"",Internal,"","","",
1163,EX1941.19,Exhibition,Completed,"Candido Portinari Murals","John Herron Art Institute",1941-12-20,,"",Internal,"","","",
1164,EX1942.1,Exhibition,Completed,"Retrospective Exhibition of Portraits by Gilbert Stuart - 1755-1828","John Herron Art Institute",1942-01-01,1942-02-08,"",Internal,"","","",
1165,EX1942.2,Exhibition,Completed,"Textiles from the South Pacific","John Herron Art Institute",1942-01-01,,"",Internal,"","","",
1166,EX1942.3,Exhibition,Completed,"Prints by Members of the American Momotype Society","John Herron Art Institute",1942-01-10,1942-01-20,"",Internal,"","","",
1167,EX1942.4,Exhibition,Completed,"Florence Smithburn: Watercolors","John Herron Art Institute",1942-02-07,1942-03-02,"",Internal,"","","",
1168,EX1942.5,Exhibition,Completed,"African Arts and Crafts","John Herron Art Institute",1942-02-07,1942-03-02,"",Internal,"","","",
1169,EX1942.6,Exhibition,Completed,"The Horse in Art","John Herron Art Institute",1942-02-15,1942-03-29,"",Internal,"","","",
1170,EX1942.7,Exhibition,Completed,"French Drawings and Watercolors: French 19th and 20th Century Masters' Works","John Herron Art Institute",1942-03-01,1942-03-29,"",Internal,"","","",
1171,EX1942.8,Exhibition,Completed,"Salvador Dali Paintings","John Herron Art Institute",1942-04-05,1942-05-04,"",Internal,"","","",
1172,EX1942.9,Exhibition,Completed,"Louis Betts, Portraits and Figure Compositions","John Herron Art Institute",1942-04-05,1942-05-03,"",Internal,"","","",
1173,EX1942.10,Exhibition,Completed,"Architectural Designs and Models by Eliel and Eero Saarinen","John Herron Art Institute",1942-04-14,,"",Internal,"","","",
1174,EX1942.11,Exhibition,Completed,"35th Annual Indiana Artists Exhibition","John Herron Art Institute",1942-05-10,1942-06-14,"",Internal,"","","",
1175,EX1942.12,Exhibition,Completed,"Art Work by Pupils of the Indianapolis Public Schools","John Herron Art Institute",1942-06-01,1942-06-30,"",Internal,"","","",
1176,EX1942.13,Exhibition,Completed,"Permanent Collection","John Herron Art Institute",1942-06-01,1942-09-30,"",Internal,"","","",
1177,EX1942.14,Exhibition,Completed,"Paul Manship: Sculpture","John Herron Art Institute",1942-09-15,1942-11-09,"",Internal,"","","",
1178,EX1942.15,Exhibition,Completed,"Special Exhibition of Egyptian Art, Reisner","John Herron Art Institute",1942-10-03,,"",Internal,"","","",
1179,EX1942.16,Exhibition,Completed,"International Watercolor Exhibition","John Herron Art Institute",1942-10-10,1942-11-08,"",Internal,"","","",
1180,EX1942.17,Exhibition,Completed,"Robert Laurent: Sculpture","John Herron Art Institute",1942-11-15,1942-12-13,"",Internal,"","","",
1181,EX1942.18,Exhibition,Completed,"Contemporary British Art","John Herron Art Institute",1942-11-15,1942-12-13,"",Internal,"","","",
1182,EX1942.19,Exhibition,Completed,"American Color Print Society Exhibition","John Herron Art Institute",1942-12-04,1942-12-23,"",Internal,"","","",
1183,EX1942.20,Exhibition,Completed,"Modern Russian Art","John Herron Art Institute",1942-12-13,1943-01-24,"",Internal,"","","",
1184,EX1942.21,Exhibition,Completed,"Charles Hopkinson: Watercolors","John Herron Art Institute",1942-12-20,1943-01-17,"",Internal,"","","",
1185,EX1943.1,Exhibition,Completed,"Eugen Kormendi, Sculpture/Elizabeth Kormendi, Ceramics","John Herron Art Institute",1943-01-03,1943-02-04,"",Internal,"","","",
1186,EX1943.2,Exhibition,Completed,"Living American Painters","John Herron Art Institute",1943-01-24,1943-02-28,"",Internal,"","","",20727 | 
1187,EX1943.3,Exhibition,Completed,"Anna Hyatt Huntington: Animal Sculpture","John Herron Art Institute",1943-02-07,1943-02-24,"",Internal,"","","",
1188,EX1943.4,Exhibition,Completed,"Charles Reiffel: Paintings","John Herron Art Institute",1943-03-07,1943-04-30,"",Internal,"","","",25327 | 
1189,EX1943.5,Exhibition,Completed,"Early Ohio River Architecture","John Herron Art Institute",1943-03-07,1943-04-04,"",Internal,"","","",
1190,EX1943.6,Exhibition,Completed,"American Prints Today","John Herron Art Institute",1943-03-07,1943-04-04,"",Internal,"","","",
1191,EX1943.7,Exhibition,Completed,"Art of Australia","John Herron Art Institute",1943-04-11,1943-05-02,"",Internal,"","","",
1192,EX1943.8,Exhibition,Completed,"36th Annual Indiana Artists Exhibition","John Herron Art Institute",1943-05-09,1943-06-06,"",Internal,"","","",
1193,EX1943.9,Exhibition,Completed,"Painted Altar Panels","John Herron Art Institute",1943-05-16,1943-05-30,"",Internal,"","","",
1194,EX1943.10,Exhibition,Completed,"Teng Chiv: Paintings","John Herron Art Institute",1943-06-10,1943-07-04,"",Internal,"","","",
1195,EX1943.11,Exhibition,Completed,"Indianapolis Camera Club Exhibit","John Herron Art Institute",1943-07-08,1943-08-08,"",Internal,"","","",
1196,EX1943.12,Exhibition,Completed,"Pictorial Survey of Chinese Art","John Herron Art Institute",1943-09-01,1943-09-26,"",Internal,"","","",
1197,EX1943.13,Exhibition,Completed,"Paintings from Latin-American Republics","John Herron Art Institute",1943-10-03,1943-10-24,"",Internal,"","","",
1198,EX1943.14,Exhibition,Completed,"Contemporary American Prints","John Herron Art Institute",1943-10-10,1943-11-07,"",Internal,"","","",
1199,EX1943.15,Exhibition,Completed,"Contemporary Dutch Paintings","John Herron Art Institute",1943-11-07,1943-12-12,"",Internal,"","","",
1200,EX1943.16,Exhibition,Completed,"Paintings by Vincent Van Gogh","John Herron Art Institute",1943-11-14,1943-12-12,"",Internal,"","","",
1201,EX1943.17,Exhibition,Completed,"Textiles from the Niblack Collection","John Herron Art Institute",1943-12-01,,"",Internal,"","","",
1202,EX1943.18,Exhibition,Completed,"Prints from the Permanent Collection","John Herron Art Institute",1943-12-01,,"",Internal,"","","",
1203,EX1944.1,Exhibition,Completed,"European Rooms in Miniature","John Herron Art Institute",1944-01-03,1944-02-29,"",Internal,"","","",
1204,EX1944.2,Exhibition,Completed,"Watercolors by Eight Americans","John Herron Art Institute",1944-02-01,1944-02-27,"",Internal,"","","",
1205,EX1944.3,Exhibition,Completed,"Animal Sculptures by Herbert Haseltine","John Herron Art Institute",1944-03-01,1944-04-01,"",Internal,"","","",
