eevents_key,irn,AdmPublishWebNoPassword,EveEventNumber,EveTypeOfEvent,EveExhibitionStatus,EveEventTitle,EveEventDescription,EveInternalOrExternalEvent,DatCommencementDate,DatCompletionDate,SecRecordStatus,AdmDateModified,,,,,,,,,,,,,
2153,3629,Yes,EX1978.52,Exhibition,Completed,S.T.E.P.:  From Gaffer to Goblet:  19th Century American Glass,,Internal,5/26/1978,6/26/1978,,10/29/2015,,,,,,,,,,,,,
2154,3630,Yes,EX1978.53,Exhibition,Completed,S.T.E.P.:  From Gaffer to Goblet:  19th Century American Glass,,Internal,7/11/1978,8/11/1978,,10/29/2015,,,,,,,,,,,,,
2155,3631,Yes,EX1978.54,Exhibition,Completed,S.T.E.P.:  From Gaffer to Goblet:  19th Century American Glass,,Internal,9/8/1978,10/9/1978,,10/29/2015,,,,,,,,,,,,,
2156,3632,Yes,EX1978.55,Exhibition,Completed,S.T.E.P.:  From Gaffer to Goblet:  19th Century American Glass,,Internal,10/16/1978,11/16/1978,,10/29/2015,,,,,,,,,,,,,
2157,3633,Yes,EX1978.56,Exhibition,Completed,S.T.E.P.:  From Gaffer to Goblet:  19th Century American Glass,,Internal,11/29/1978,12/29/1978,,10/29/2015,,,,,,,,,,,,,
2158,3634,Yes,EX1978.57,Exhibition,Completed,S.T.E.P.:  William Hogarth Prints,,Internal,2/1/1978,3/1/1978,,10/29/2015,,,,,,,,,,,,,
2159,3635,Yes,EX1978.58,Exhibition,Completed,S.T.E.P.:  The Impact of Art Deco,,Internal,1/3/1978,2/6/1978,,10/29/2015,,,,,,,,,,,,,
2160,3636,Yes,EX1978.59,Exhibition,Completed,S.T.E.P.:  The Impact of Art Deco,,Internal,2/22/1978,3/22/1978,,10/29/2015,,,,,,,,,,,,,
2161,3637,Yes,EX1978.60,Exhibition,Completed,S.T.E.P.:  The Impact of Art Deco,,Internal,4/10/1978,5/10/1978,,10/29/2015,,,,,,,,,,,,,
2162,3638,Yes,EX1978.61,Exhibition,Completed,S.T.E.P.:  The Impact of Art Deco,,Internal,5/30/1978,6/30/1978,,10/29/2015,,,,,,,,,,,,,
2163,3639,Yes,EX1978.62,Exhibition,Completed,S.T.E.P.:  The Impact of Art Deco,,Internal,7/20/1978,8/21/1978,,10/29/2015,,,,,,,,,,,,,
2164,3640,Yes,EX1978.63,Exhibition,Completed,S.T.E.P.:  The Impact of Art Deco,,Internal,9/5/1978,10/5/1978,,3/19/2018,,,,,,,,,,,,,
2165,3641,Yes,EX1978.64,Exhibition,Completed,S.T.E.P.:  The Impact of Art Deco,,Internal,10/25/1978,11/27/1978,,10/29/2015,,,,,,,,,,,,,
2166,3642,Yes,EX1978.65,Exhibition,Completed,"S.T.E.P.:  Autumn Moon, Evening Rain, Snow:  Japanese Prints",,Internal,1/10/1978,2/10/1978,,10/29/2015,,,,,,,,,,,,,
2167,3643,Yes,EX1978.66,Exhibition,Completed,"S.T.E.P.:  Autumn Moon, Evening Rain, Snow:  Japanese Prints",,Internal,4/14/1978,5/15/1978,,10/29/2015,,,,,,,,,,,,,
2168,3644,Yes,EX1978.67,Exhibition,Completed,"S.T.E.P.:  Autumn Moon, Evening Rain, Snow:  Japanese Prints",,Internal,9/1/1978,10/2/1978,,10/29/2015,,,,,,,,,,,,,
2169,3645,Yes,EX1978.68,Exhibition,Completed,"S.T.E.P.:  Autumn Moon, Evening Rain, Snow:  Japanese Prints",,Internal,10/18/1978,11/20/1978,,10/29/2015,,,,,,,,,,,,,
2170,3646,Yes,EX1978.69,Exhibition,Completed,"S.T.E.P.:  Autumn Moon, Evening Rain, Snow:  Japanese Prints",,Internal,12/8/1978,1/8/1979,,10/29/2015,,,,,,,,,,,,,
2171,3647,Yes,EX1978.70,Exhibition,Completed,S.T.E.P.:  Alexandre Georges:  A Celebration of Nature,,Internal,1/17/1978,2/17/1978,,10/29/2015,,,,,,,,,,,,,
2172,3648,Yes,EX1978.71,Exhibition,Completed,S.T.E.P.:  Alexandre Georges:  A Celebration of Nature,,Internal,3/7/1978,4/7/1978,,10/29/2015,,,,,,,,,,,,,
2173,3649,Yes,EX1978.72,Exhibition,Completed,S.T.E.P.:  Alexandre Georges:  A Celebration of Nature,,Internal,4/21/1978,5/22/1978,,10/29/2015,,,,,,,,,,,,,
2174,3650,Yes,EX1978.73,Exhibition,Completed,S.T.E.P.:  Alexandre Georges:  A Celebration of Nature,,Internal,6/7/1978,7/7/1978,,10/29/2015,,,,,,,,,,,,,
2175,3651,Yes,EX1978.74,Exhibition,Completed,S.T.E.P.:  Alexandre Georges:  A Celebration of Nature,,Internal,7/26/1978,8/28/1976,,10/29/2015,,,,,,,,,,,,,
2176,3652,Yes,EX1978.75,Exhibition,Completed,S.T.E.P.:  Alexandre Georges:  A Celebration of Nature,,Internal,9/14/1978,10/13/1978,,10/29/2015,,,,,,,,,,,,,
2177,3653,Yes,EX1978.76,Exhibition,Completed,S.T.E.P.:  Alexandre Georges:  A Celebration of Nature,,Internal,11/1/1978,12/1/1978,,3/4/2017,,,,,,,,,,,,,
2178,3654,Yes,EX1978.77,Exhibition,Completed,S.T.E.P.:  Lincoln and His Times,,Internal,2/1/1978,2/28/1978,,10/29/2015,,,,,,,,,,,,,
2179,3655,Yes,EX1978.78,Exhibition,Completed,S.T.E.P.:  Villa and Cottage Prints:  The English Picturesque,,Internal,2/2/1978,6/25/1979,,10/29/2015,,,,,,,,,,,,,
2180,3656,Yes,EX1978.79,Exhibition,Completed,S.T.E.P.:  Villa and Cottage Prints:  The English Picturesque,,Internal,2/2/1978,3/6/1978,,10/29/2015,,,,,,,,,,,,,
2181,3657,Yes,EX1978.80,Exhibition,Completed,S.T.E.P.:  Villa and Cottage Prints:  The English Picturesque,,Internal,4/4/1978,5/4/1978,,10/29/2015,,,,,,,,,,,,,
2182,3658,Yes,EX1978.81,Exhibition,Completed,S.T.E.P.:  Villa and Cottage Prints:  The English Picturesque,,Internal,6/28/1978,7/28/1978,,10/29/2015,,,,,,,,,,,,,
2183,3659,Yes,EX1978.82,Exhibition,Completed,S.T.E.P.:  Villa and Cottage Prints:  The English Picturesque,,Internal,9/20/1978,10/20/1978,,10/29/2015,,,,,,,,,,,,,
2184,3660,Yes,EX1978.83,Exhibition,Completed,S.T.E.P.:  Villa and Cottage Prints:  The English Picturesque,,Internal,11/3/1978,12/11/1978,,10/29/2015,,,,,,,,,,,,,
2185,3661,Yes,EX1978.84,Exhibition,Completed,S.T.E.P.:  Greentown Glass,,Internal,8/7/1978,9/7/1978,,10/29/2015,,,,,,,,,,,,,
2186,3662,Yes,EX1978.85,Exhibition,Completed,S.T.E.P.:  Greentown Glass,,Internal,9/27/1978,10/27/1978,,10/29/2015,,,,,,,,,,,,,
2187,3663,Yes,EX1978.86,Exhibition,Completed,S.T.E.P.:  Greentown Glass,,Internal,11/17/1978,12/18/1978,,10/29/2015,,,,,,,,,,,,,
2188,3664,Yes,EX1978.87,Exhibition,Completed,S.T.E.P.:  Edward Lear's Alphabet,,Internal,3/20/1978,4/24/1978,,10/29/2015,,,,,,,,,,,,,
2189,3665,Yes,EX1978.88,Exhibition,Completed,S.T.E.P.:  Edward Lear's Alphabet,,Internal,5/12/1978,6/12/1978,,10/29/2015,,,,,,,,,,,,,
2190,3666,Yes,EX1978.89,Exhibition,Completed,S.T.E.P.:  Edward Lear's Alphabet,,Internal,9/18/1978,11/20/1978,,10/29/2015,,,,,,,,,,,,,
2191,3667,Yes,EX1978.90,Exhibition,Completed,S.T.E.P.:  George Cruikshank,,Internal,4/17/1978,5/16/1978,,10/29/2015,,,,,,,,,,,,,
2192,3668,Yes,EX1978.91,Exhibition,Completed,S.T.E.P.: George Cruikshank,,Internal,9/29/1978,10/30/1978,,10/29/2015,,,,,,,,,,,,,
2193,3669,Yes,EX1978.92,Exhibition,Completed,Beverly Pepper Outdoor Sculpture,,Internal,4/9/1978,6/30/1979,,10/29/2015,,,,,,,,,,,,,
2194,3670,Yes,EX1978.93,Exhibition,Completed,S.T.E.P.:  The City on Paper,,Internal,7/19/1978,11/21/1980,,10/29/2015,,,,,,,,,,,,,
2195,3672,Yes,EX1978.95,Exhibition,Completed,Guatemalan Textiles,,Internal,7/1/1978,9/30/1978,,10/29/2015,,,,,,,,,,,,,
2196,3673,Yes,EX1978.96,Exhibition,Completed,William McGregor Paxton,,Internal,10/12/1978,12/3/1978,,10/29/2015,,,,,,,,,,,,,
2197,3676,Yes,EX1978.97,Rotation,Completed,Reinstallation of the Oriental Collection (Not an Exhibition),,Internal,9/7/1978,,,10/29/2015,,,,,,,,,,,,,
2198,3677,Yes,EX1978.98,Exhibition,Completed,S.T.E.P.:  Chinese Graphics from the Mustard Seed Manual of Painting,,Internal,9/13/1978,12/14/1979,,10/29/2015,,,,,,,,,,,,,
2199,3678,Yes,EX1978.99,Exhibition,Completed,Treasures from the Textile Collection,,Internal,9/26/1978,12/31/1978,,10/29/2015,,,,,,,,,,,,,
2200,3679,Yes,EX1978.100,Exhibition,Completed,S.T.E.P.:  Edward Penfield's Monthly Placards for Harper's Magazine,,Internal,11/15/1978,1/12/1981,,10/29/2015,,,,,,,,,,,,,
2201,3680,Yes,EX1978.101,Exhibition,Completed,John David Mooney/Thomas Jordan,,Internal,6/10/1978,6/11/1978,,10/29/2015,,,,,,,,,,,,,
2202,2065,Yes,EX1979.1,Exhibition,Completed,S.T.E.P.:A Bevy of Beasts: Animals in Print,,Internal,1/9/1979,2/18/1979,,10/29/2015,,,,,,,,,,,,,
2203,2066,Yes,EX1979.2,Exhibition,Completed,S.T.E.P.: Karel Appel: The Sunshine People,,Internal,1/16/1979,3/15/1979,,10/29/2015,,,,,,,,,,,,,
2204,2067,Yes,EX1979.3,Exhibition,Completed,Contemporary Western American Art,,Internal,1/24/1979,3/25/1979,,10/29/2015,,,,,,,,,,,,,
2205,2068,Yes,EX1979.4,Exhibition,Completed,Portraits and Painters of the Governors of Indiana 1800 - 1978,,Internal,1/25/1979,2/12/1979,,10/29/2015,,,,,,,,,,,,,
2206,2069,Yes,EX1979.5,Exhibition,Completed,Pamela Ostewig - Silver; Stephen Young - Kites,,Internal,1/30/1979,2/25/1979,,10/29/2015,,,,,,,,,,,,,
2207,2070,Yes,EX1979.6,Exhibition,Completed,Contemporary Art from the Cummins Collection,,Internal,2/2/1979,4/1/1979,,3/19/2018,,,,,,,,,,,,,
2208,2071,Yes,EX1979.7,Exhibition,Completed,Fabric of Jewish Life: Textiles from the Jewish Museum Collection,,Internal,2/8/1979,4/1/1979,,10/29/2015,,,,,,,,,,,,,
2209,2072,Yes,EX1979.8,Exhibition,Completed,William Magaw - Sculptor,,Internal,2/27/1979,4/1/1979,,10/29/2015,,,,,,,,,,,,,
2210,2073,Yes,EX1979.9,Exhibition,Completed,Symphony in Color,,Internal,2/27/1979,3/25/1979,,10/29/2015,,,,,,,,,,,,,
2211,2074,Yes,EX1979.10,Exhibition,Completed,The Allen Whitehill Clowes Collection of Bronzes,,Internal,3/1/1979,4/20/1979,,10/29/2015,,,,,,,,,,,,,
2212,2075,Yes,EX1979.11,Exhibition,Completed,S.T.E.P.: Gustave Baumann,,Internal,3/16/1979,5/7/1979,,10/29/2015,,,,,,,,,,,,,
2213,2076,Yes,EX1979.12,Exhibition,Completed,Contemporary Japanese Prints,,Internal,3/27/1979,4/22/1979,,10/29/2015,,,,,,,,,,,,,
2214,2077,Yes,EX1979.13,Exhibition,Completed,Bartholomew County Schools,,Internal,4/3/1979,5/13/1979,,3/19/2018,,,,,,,,,,,,,
2215,2078,Yes,EX1979.14,Exhibition,Completed,Karl Martz Pottery,,Internal,4/3/1979,4/29/1979,,10/29/2015,,,,,,,,,,,,,
2216,2079,Yes,EX1979.15,Exhibition,Completed,Selections from the Campbell Museum Collection,,Internal,4/11/1979,5/20/1979,,10/29/2015,,,,,,,,,,,,,
2217,2080,Yes,EX1979.16,Exhibition,Completed,Prints from Indianapolis Collections: The Print and Drawing Society Collects,,Internal,4/24/1979,6/3/1979,,10/29/2015,,,,,,,,,,,,,
2218,2081,Yes,EX1979.17,Exhibition,Completed,William Dole Collages,,Internal,5/1/1979,7/1/1979,,10/29/2015,,,,,,,,,,,,,
2219,2082,Yes,EX1979.18,Exhibition,Completed,Jean Battles and Irving Fiber: Designs,,Internal,5/1/1979,5/31/1979,,10/29/2015,,,,,,,,,,,,,
2220,2083,Yes,EX1979.19,Exhibition,Completed,S.T.E.P.:Garo Antresian,,Internal,5/8/1979,7/12/1979,,10/29/2015,,,,,,,,,,,,,
2221,2084,Yes,EX1979.20,Exhibition,Completed,S.T.E.P.: Villa and Cottage Prints: The English Picturesque,,Internal,5/16/1979,6/25/1979,,3/19/2018,,,,,,,,,,,,,
2222,2085,Yes,EX1979.21,Exhibition,Completed,Indiana Scene,,Internal,6/1/1979,7/31/1979,,10/29/2015,,,,,,,,,,,,,
2223,2086,Yes,EX1979.22,Exhibition,Completed,Shirley Cohn: Baskets,,Internal,6/5/1979,7/1/1979,,10/29/2015,,,,,,,,,,,,,
2224,2087,Yes,EX1979.23,Exhibition,Completed,S.T.E.P.: Indiana Earthenware & Stoneware 1840 - 1910,,Internal,6/7/1979,7/22/1979,,10/29/2015,,,,,,,,,,,,,
2225,2088,Yes,EX1979.24,Exhibition,Completed,67th Indiana Artists Show,,Internal,6/13/1979,7/29/1979,,10/29/2015,,,,,,,,,,,,,
2226,2089,Yes,EX1979.25,Exhibition,Completed,Mark Tobey Graphics,,Internal,6/14/1979,7/29/1979,,10/29/2015,,,,,,,,,,,,,
2227,2090,Yes,EX1979.26,Exhibition,Completed,"Old Sheffield Plate: The Collection of Mr. and Mrs. H. Earl Capehart, Jr.",,Internal,6/29/1979,8/12/1979,,3/19/2018,,,,,,,,,,,,,
2228,2091,Yes,EX1979.27,Exhibition,Completed,Stage Designs by Salvador Dali,,Internal,7/7/1979,8/7/1979,,10/29/2015,,,,,,,,,,,,,
2229,2092,Yes,EX1979.28,Exhibition,Completed,S.T.E.P.: George Elbert Burr (1859-1939),,Internal,7/13/1979,9/13/1979,,10/29/2015,,,,,,,,,,,,,
2230,2093,Yes,EX1979.29,Exhibition,Completed,"Art, Inc. - American Paintings from Corporate Collections",,Internal,8/8/1979,9/23/1979,,10/29/2015,,,,,,,,,,,,,
2231,2094,Yes,EX1979.30,Exhibition,Completed,Selections from the 67th Indiana Artists Show,,Internal,8/17/1979,10/21/1979,,3/19/2018,,,,,,,,,,,,,
2232,2095,Yes,EX1979.31,Exhibition,Completed,Paintings by Hung Hsien,,Internal,8/21/1979,9/30/1979,,10/29/2015,,,,,,,,,,,,,
2233,2096,Yes,EX1979.32,Exhibition,Completed,The World of Hiroshige,,Internal,8/22/1979,10/28/1979,,4/8/2021,,,,,,,,,,,,,
2234,2097,Yes,EX1979.33,Exhibition,Completed,Becky Brown: Pottery,,Internal,8/28/1979,9/30/1979,,10/29/2015,,,,,,,,,,,,,
2235,2098,Yes,EX1979.34,Exhibition,Completed,S.T.E.P.: Contemporary Prints by Contemporary Women,,Internal,9/14/1979,11/15/1979,,10/29/2015,,,,,,,,,,,,,
2236,2099,Yes,EX1979.35,Exhibition,Completed,Lynne Devine: Textiles,,Internal,10/2/1979,11/4/1979,,10/29/2015,,,,,,,,,,,,,
2237,2100,Yes,EX1979.36,Exhibition,Completed,The American Farm: A Photographic History,,Internal,10/10/1979,11/25/1979,,10/29/2015,,,,,,,,,,,,,
2238,2101,Yes,EX1979.37,Exhibition,Completed,19th Annual Fall Collection of the Alliance Rental Gallery,,Internal,10/10/1979,10/16/1979,,10/29/2015,,,,,,,,,,,,,
2239,2102,Yes,EX1979.38,Exhibition,Completed,Indiana Orchid Society Exhibition,,Internal,10/13/1979,10/14/1979,,10/29/2015,,,,,,,,,,,,,
2240,2103,Yes,EX1979.39,Exhibition,Completed,The Artist as Illustrator,,Internal,10/26/1979,12/2/1979,,3/19/2018,,,,,,,,,,,,,
2241,2104,Yes,EX1979.40,Exhibition,Completed,A Rustle of Silk: Costumes from the Caroline Burford Danner Estate,,Internal,10/30/1979,12/30/1979,,6/14/2016,,,,,,,,,,,,,
2242,2105,Yes,EX1979.41,Exhibition,Completed, Southwest Indian Paintings,,Internal,10/10/1979,11/30/1979,,10/29/2015,,,,,,,,,,,,,
2243,2106,Yes,EX1979.42,Exhibition,Completed,Richard & Eileen Burkett: Pottery and Weaving,,Internal,11/6/1979,12/23/1979,,10/29/2015,,,,,,,,,,,,,
2244,2107,Yes,EX1979.43,Exhibition,Completed,S.T.E.P.: The Expressive: German Prints 1895-1930,,Internal,11/13/1979,1/27/1980,,10/29/2015,,,,,,,,,,,,,
2245,2108,Yes,EX1979.44,Exhibition,Completed,Olympic Posters,,Internal,11/16/1979,1/15/1980,,10/29/2015,,,,,,,,,,,,,
2246,2109,Yes,EX1979.45,Exhibition,Completed,The Christmas Kitchen,,Internal,12/2/1979,2/3/1980,,3/19/2018,,,,,,,,,,,,,
2247,2110,Yes,EX1979.46,Exhibition,Completed,The Art & Western Sculptures of George Carlson,,Internal,12/12/1979,1/20/1980,,10/29/2015,,,,,,,,,,,,,
2248,2111,Yes,EX1979.47,Exhibition,Completed,Christmas at Oldfields,,Internal,12/14/1979,12/30/1979,,10/29/2015,,,,,,,,,,,,,
2249,2112,Yes,EX1979.48,Exhibition,Completed,"Okada, Shinoda, and Tsutaka: 3 Pioneers of Abstract Painting in 20th Century Japan",,Internal,12/19/1979,1/27/1980,,10/29/2015,,,,,,,,,,,,,
2250,3674,Yes,EX1979.49,Exhibition,Completed,William McGregor Paxton,,Internal,1/5/1979,2/11/1979,,10/29/2015,,,,,,,,,,,,,
2251,3675,Yes,EX1979.50,Exhibition,Completed,William McGregor Paxton,,Internal,3/24/1979,5/6/1979,,10/29/2015,,,,,,,,,,,,,
2252,3681,Yes,EX1979.51,Exhibition,Completed,S.T.E.P.:  A Bevy of Beasts:  Animals in Print,,Internal,1/9/1979,12/10/1980,,10/29/2015,,,,,,,,,,,,,
2253,3682,Yes,EX1979.52,Exhibition,Completed,S.T.E.P.:  A Bevy of Beasts:  Animals in Print,,Internal,3/23/1979,8/23/1979,,10/29/2015,,,,,,,,,,,,,
2254,3683,Yes,EX1979.53,Exhibition,Completed,S.T.E.P.:  A Bevy of Beasts:  Animals in Print,,Internal,6/20/1979,7/20/1979,,10/29/2015,,,,,,,,,,,,,
2255,3684,Yes,EX1979.54,Exhibition,Completed,S.T.E.P.:  A Bevy of Beasts:  Animals in Print,,Internal,9/28/1979,10/29/1979,,10/29/2015,,,,,,,,,,,,,
2256,3685,Yes,EX1979.55,Exhibition,Completed,"S.T.E.P.:  Autumn Moon, Evening Rain, Snow:  Japanes Prints",,Internal,2/1/1979,3/1/1979,,10/29/2015,,,,,,,,,,,,,
2257,3686,Yes,EX1979.56,Exhibition,Completed,"S.T.E.P.:  Autumn Moon, Evening Rain, Snow:  Japanese Prints",,Internal,5/1/1979,6/1/1979,,10/29/2015,,,,,,,,,,,,,
2258,3687,Yes,EX1979.57,Exhibition,Completed,"S.T.E.P.:  Autumn Moon, Evening Rain, Snow:  Japanese Prints",,Internal,11/19/1979,12/19/1979,,10/29/2015,,,,,,,,,,,,,
2259,3688,Yes,EX1979.58,Exhibition,Completed,S.T.E.P.:  From Gaffer to Goblet:  19th Century American Glass,,Internal,1/12/1979,2/8/1979,,10/29/2015,,,,,,,,,,,,,
2260,3689,Yes,EX1979.59,Exhibition,Completed,S.T.E.P.:  From Gaffer to Goblet:  19th Century American Glass,,Internal,6/11/1979,7/11/1979,,10/29/2015,,,,,,,,,,,,,
2261,3690,Yes,EX1979.60,Exhibition,Completed,S.T.E.P.:  From Gaffer to Goblet:  19th Century American Glass,,Internal,9/19/1979,10/19/1979,,10/29/2015,,,,,,,,,,,,,
2262,3691,Yes,EX1979.61,Exhibition,Completed,S.T.E.P.:  From Gaffer to Goblet:  19th Century American Glass,,Internal,11/5/1979,12/5/1979,,10/29/2015,,,,,,,,,,,,,
2263,3692,Yes,EX1979.62,Exhibition,Completed,S.T.E.P.:  From Gaffer to Goblet:  19th Century American Glass,,Internal,12/17/1979,1/17/1980,,10/29/2015,,,,,,,,,,,,,
2264,3693,Yes,EX1979.63,Exhibition,Completed,S.T.E.P.:  William Hogarth Prints,,Internal,3/26/1979,4/27/1979,,10/29/2015,,,,,,,,,,,,,
2265,3694,Yes,EX1979.64,Exhibition,Completed,S.T.E.P.:  William Hogarth Prints,,Internal,5/4/1979,6/8/1979,,10/29/2015,,,,,,,,,,,,,
2266,3695,Yes,EX1979.65,Exhibition,Completed,S.T.E.P.:  William Hogarth Prints,,Internal,7/2/1979,8/3/1979,,10/29/2015,,,,,,,,,,,,,
2267,3696,Yes,EX1979.66,Exhibition,Completed,S.T.E.P.:  William Hogarth Prints,,Internal,10/9/1979,11/9/1979,,10/29/2015,,,,,,,,,,,,,
2268,3697,Yes,EX1979.67,Exhibition,Completed,S.T.E.P.:  George Cruikshank,,Internal,3/12/1979,4/12/1979,,10/29/2015,,,,,,,,,,,,,
2269,3698,Yes,EX1979.68,Exhibition,Completed,S.T.E.P.:  George Cruikshank,,Internal,9/26/1979,10/26/1979,,10/29/2015,,,,,,,,,,,,,
2270,3699,Yes,EX1979.69,Exhibition,Completed,S.T.E.P.:  Villa and Cottage Prints:  The English Picturesque,,Internal,3/5/1979,5/11/1979,,10/29/2015,,,,,,,,,,,,,
2271,3700,Yes,EX1979.70,Exhibition,Completed,S.T.E.P.:  IAC Grant Application 1979-1980,,Internal,1/1/1979,9/30/1980,,10/29/2015,,,,,,,,,,,,,
2272,3701,Yes,EX1979.71,Exhibition,Completed,S.T.E.P.:  Edward Penfield's Monthly Placards for Harper's Magazine,,Internal,2/6/1979,3/7/1979,,10/29/2015,,,,,,,,,,,,,
2273,3702,Yes,EX1979.72,Exhibition,Completed,S.T.E.P.:  Edward Penfield's Monthly Placards for Harper's Magazine,,Internal,8/21/1979,9/21/1979,,10/29/2015,,,,,,,,,,,,,
2274,3703,Yes,EX1979.73,Exhibition,Completed,S.T.E.P.:  Edward Penfield's Monthly Placards for Harper's Magazine,,Internal,11/21/1979,1/17/1980,,10/29/2015,,,,,,,,,,,,,
2275,3704,Yes,EX1979.74,Exhibition,Completed,S.T.E.P.: George Elbert Burr (1859 - 1939),,Internal,5/11/1979,6/13/1979,,10/29/2015,,,,,,,,,,,,,
2276,3705,Yes,EX1979.75,Exhibition,Completed,S.T.E.P.: George Elbert Burr (1859 - 1939),,Internal,5/11/1979,11/10/1980,,10/29/2015,,,,,,,,,,,,,
2277,3706,Yes,EX1979.76,Exhibition,Completed,S.T.E.P.: George Elbert Burr (1859 - 1939),,Internal,10/2/1979,11/2/1979,,10/29/2015,,,,,,,,,,,,,
2278,3707,Yes,EX1979.77,Exhibition,Completed,S.T.E.P.:  Chinese Graphics from the Mustard Seed Garden Manual of Painting,,Internal,3/19/1979,4/19/1979,,10/29/2015,,,,,,,,,,,,,
2279,3708,Yes,EX1979.78,Exhibition,Completed,S.T.E.P.:  Chinese Graphics from the Mustard Seed Garden Manual of Painting,,Internal,7/9/1979,8/9/1979,,10/29/2015,,,,,,,,,,,,,
2280,3709,Yes,EX1979.79,Exhibition,Completed,S.T.E.P.:  Chinese Graphics from the Mustard Seed Garden Manual of Painting,,Internal,9/12/1979,10/15/1979,,10/29/2015,,,,,,,,,,,,,
2281,3710,Yes,EX1979.80,Exhibition,Completed,S.T.E.P.:  Chinese Graphics from the Mustard Seed Garden Manual of Painting,,Internal,11/14/1979,12/14/1979,,10/29/2015,,,,,,,,,,,,,
2282,3711,Yes,EX1979.81,Exhibition,Completed,S.T.E.P.:  The City on Paper,,Internal,1/9/1979,2/12/1979,,10/29/2015,,,,,,,,,,,,,
2283,3712,Yes,EX1979.82,Exhibition,Completed,S.T.E.P.:  The City on Paper,,Internal,4/16/1979,5/2/1979,,10/29/2015,,,,,,,,,,,,,
2284,3713,Yes,EX1979.83,Exhibition,Completed,S.T.E.P.:  The City on Paper,,Internal,7/25/1979,8/27/1979,,10/29/2015,,,,,,,,,,,,,
2285,3714,Yes,EX1979.84,Exhibition,Completed,S.T.E.P.:  The City on Paper,,Internal,11/7/1979,12/17/1979,,10/29/2015,,,,,,,,,,,,,
2286,3715,Yes,EX1979.85,Exhibition,Completed,S.T.E.P.:  American Indian Costume in the Photographs of Edward S. Curtis,,Internal,1/19/1979,2/20/1979,,10/29/2015,,,,,,,,,,,,,
2287,3716,Yes,EX1979.86,Exhibition,Completed,S.T.E.P.:  American Indian Costume in the Photographs of Edward S. Curtis,,Internal,4/30/1979,6/13/1979,,10/29/2015,,,,,,,,,,,,,
2288,3717,Yes,EX1979.87,Exhibition,Completed,S.T.E.P.:  American Indian Costume in the Photographs of Edward S. Curtis,,Internal,9/5/1979,10/8/1979,,10/29/2015,,,,,,,,,,,,,
2289,3718,Yes,EX1979.88,Exhibition,Completed,S.T.E.P.:  American Indian Costume in the Photographs of Edward S. Curtis,,Internal,11/12/1979,12/12/1979,,10/29/2015,,,,,,,,,,,,,
2290,3719,Yes,EX1979.89,Exhibition,Completed,"S.T.E.P.:  Something Old, Something New:  Recent Gifts in the Decorative Arts",,Internal,2/14/1979,1/5/1981,,10/29/2015,,,,,,,,,,,,,
2291,3720,Yes,EX1979.90,Exhibition,Completed,"S.T.E.P.:  Something Old, Something New:  Recent Gifts in the Decorative Arts",,Internal,2/14/1979,3/14/1979,,10/29/2015,,,,,,,,,,,,,
2292,3721,Yes,EX1979.91,Exhibition,Completed,"S.T.E.P.:  Something Old, Something New:  Recent Gifts in the Decorative Arts",,Internal,3/14/1979,4/17/1979,,10/29/2015,,,,,,,,,,,,,
2293,3722,Yes,EX1979.92,Exhibition,Completed,"S.T.E.P.:  Something Old, Something New:  Recent Gifts in the Decorative Arts",,Internal,7/5/1979,8/6/1979,,10/29/2015,,,,,,,,,,,,,
2294,3723,Yes,EX1979.93,Exhibition,Completed,"S.T.E.P.:  Something Old, Something New:  Recent Gifts in the Decorative Arts",,Internal,9/10/1979,10/11/1979,,10/29/2015,,,,,,,,,,,,,
2295,3724,Yes,EX1979.94,Exhibition,Completed,"S.T.E.P.:  Something Old, Something New:  Recent Gifts in the Decorative Arts",,Internal,11/1/1979,11/30/1979,,10/29/2015,,,,,,,,,,,,,
2296,3725,Yes,EX1979.95,Exhibition,Completed,S.T.E.P.:  Garo Antreasian,,Internal,5/8/1979,11/20/1981,,10/29/2015,,,,,,,,,,,,,
2297,3726,Yes,EX1979.96,Exhibition,Completed,S.T.E.P.: Contemporary Prints by Contemporary Women,,Internal,9/14/1979,12/21/1981,,10/29/2015,,,,,,,,,,,,,
2298,3727,Yes,EX1979.97,Exhibition,Completed,S.T.E.P.: Indiana Earthenware and Stoneware: 1840 - 1910,,Internal,6/7/1979,12/11/1981,,10/29/2015,,,,,,,,,,,,,
2299,3728,Yes,EX1979.98,Exhibition,Completed,S.T.E.P.: Gustave Baumann,,Internal,3/16/1979,3/13/1981,,10/29/2015,,,,,,,,,,,,,
2300,3729,Yes,EX1979.99,Exhibition,Completed,S.T.E.P.:  Karel Appel: The Sunshine People,,Internal,1/16/1979,3/2/1981,,10/29/2015,,,,,,,,,,,,,
2301,3730,Yes,EX1979.100,Exhibition,Completed,S.T.E.P.:  The Expressive: German Prints 1895 - 1930,,Internal,11/13/1979,3/1/1982,,10/29/2015,,,,,,,,,,,,,
2302,3731,Yes,EX1979.101,Exhibition,Completed,S.T.E.P.: Annual Overview 1979,,Internal,1/1/1979,12/31/1979,,10/29/2015,,,,,,,,,,,,,
2303,3624,Yes,EX1979.102,Exhibition,Completed,Indiana Idylls:  100 Years of Landscape Painting from the Indianapolis Museum of Art,,Internal,1/24/1979,3/31/1979,,1/28/2020,,,,,,,,,,,,,
